C21976	UC浏览器	UC浏览器:5亿用户共同选择的上网神器，UC星座版高能来袭！ 【个性化资讯】读懂你的兴趣，推荐给你最想看的内容今日头条新闻，明星八卦，微信热文，NBA欧冠，股票理财，漫画杂志，美女写真哪些是你的菜? 【免费小说】起点，纵横，潇湘，红袖，书旗，掌阅热门小说全阅读，更有书评推荐，再不怕书荒啦 ! 【海量视频】优酷，土豆，搜狐，爱奇艺，乐视芒果TV，腾讯视频
C34075	手机淘宝	打开淘宝领金币-人人有份 手机淘宝（Android版）是阿里巴巴专为Android手机用户推出的满足其生活消费和线上购物需求的软件，具有查看附近的生活优惠信息、商品搜索、浏览、购买、支付、收藏、物流查询、旺旺沟通等在线功能，成为了用户方便快捷的生活消费入口
C121553	WPS Office	WPS Office:崭新界面设计全面开启，操作得到更大幅度的提高和优化  最佳安卓办公软件，个人版永久免费，体积小、速度快；独有手机阅读模式，字体清晰翻页流畅；完美支持微软Office、PDF等23种文档格式；文档漫游功能，让你离开电脑一样办公。  用户多：全球用户 500,000,000！ 口碑好：Google Play 超过490,000五星评
C10049053	华为商城	【华为商城客户端 我的掌上购机神器】 不管您是在路上、开会、上课还是家里沙发上，都能第一时间预约抢购华为、荣耀新品。HUAWEI MATE 8、华为畅享5S、荣耀畅玩5X、荣耀7i、华为P8、荣耀7等众多热门新品一网打尽，先人一步！立即下载客户端，开始选购吧！ 【功能概览】 新版首页：全新首页，更多精彩！ 抢购神器：第一时间预约抢购华
C3382	百度地图	【基本功能介绍】 用百度地图，快速定位你的位置，探索周边美食娱乐。 不但可以找位置，还能帮你“到这去”，公交、驾车、步行三种出行方式任你选择，还有蚯蚓路线、免费语音导航、时间胶囊让你出行无忧。 丰富的贴心功能，帮你玩转地图。离线地图，节省流量。收藏夹可以同步云端，实现电脑、手机、Pad三端贯通，永不丢失。 【温馨提示】 Andr
C10207207	华为云服务	【软件介绍】 华为云服务集合个人数据同步、云相册、手机找回等多种基础云功能，旨在为消费者提供易用、快捷、智能、安全的一站式个人数据管理服务。  【功能特色】 1.联系人自动同步，手机和云端始终保持一致，换机也不会丢失联系人。 2.支持多种联系人数据整理方式：本地覆盖云端、云端覆盖本地、智能合并，满足各种场景需要。 3.短信
C10055832	华为文件管理(含网盘)	华为文件管理(含网盘):【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持
C10060708	华为支付	该应用为华为钱包支付服务插件，无桌面图标，如需进行花币充值、银行卡管理、查询账单及体验其他钱包功能，请搜索“华为钱包”安装体验。华为支付内包含零钱、花币、信用卡、借记卡、支付宝、手机充值卡等多种支付方式，使用华为账号登录，更可体验一键支付的方便快捷。
C7166	微博	随时随地发现新鲜事！微博带你欣赏世界上每一个精彩瞬间，了解每一个幕后故事。分享你想表达的，让全世界都能听到你的心声。 在微博： -你能看到最新，最全面的资讯内容。无论是官方发布的新闻还是草根爆料的八卦。 -第一时间了解关注人的最新动态，无论是体育、电影、财经、还是吃喝玩乐。 -想说点啥？发送文字、照片、视频，随心所欲地创作，轻松自在地
C10021449	音乐	超决战！奥特曼银河传说:正版奥特曼版权大作强势登场！创新的召唤与强化系统，打造强大的梦比优斯奥特曼！五大至尊战场，十大犀利怪兽上演疯狂车轮战！尽享正版豪华视觉冲击！勇敢的战士，与梦比优斯一起保卫地球吧！ 
C5373	支付宝	双旦红包送不停！  支付宝9.0是支付宝十一年来最大的一次蜕变，除了继续内置风靡全国的“余额宝”，还信用卡、转账、充话费、缴水电煤全部免费，新支付宝还提供了以你为中心的餐饮、生活服务、理财保险、场景关系等一系列全新服务 。在这里你可以享受消费打折、为家人建立亲情账户，跟好友建群互动......这将是一个3.5亿实名用户共同生活其中的一站式生活平台
C27162	华为应用市场	新版本特性： 1、分类页面改版，操作更便捷； 2、我的页面改版，美观又方便； 3、通知栏消息优化，多条合并成一条； 4、签到花瓣手动领取了，自2015-12-15日起，每天需在新版本的赚花瓣页面领取，届时旧版本将无法获取签到花瓣，请及时更新到新版本。   华为应用市场 --放心下，畅快玩！ 1、提供新鲜、
C5683	微信	同花顺(300033)手机炒股 股票软件是市场上高速行情、极速交易、数据全面、支持券商众多、领先支持股指期权 和 沪港通，深受股民欢迎的免费炒股(金融/投资/理财/证券)软件 炒股必备 众多券商：支持全国众多券商在线交易(如平安证券、银河证券、方正证券、中泰证券、东方证券、兴业证券) 闪电下单：分时快买快卖，投资下单快人一步 模拟炒股
C9319	QQ	QQ手机版，致力于打造欢乐无限的沟通、娱乐与生活体验——乐在沟通15年，聊天欢乐8亿人！ 【全新视觉，灵动呈现】 - 全新界面：化繁为简的架构，更加轻便自如，冰川蓝主题带来灵动清爽的视觉体验。 - 语音通话：支持2人语音通话、3人语音通话、一群人语音通话都高清流畅，快拉上小伙伴体验下，想聊多久聊多久哦！ - 视频聊天：可轻松开启视频通
